2014-11-28,600490.SK,7500,14.2,CloseBuy,6936.4
2014-11-28,600152.SK,12000,8.32,Buy,0
2014-11-28,002565.SK,11500,8.65,Buy,0
2014-11-28,300026.SK,3700,26.29,CloseBuy,-2914.4
2014-11-28,000737.SK,20400,4.88,Buy,0
2014-11-28,300323.SK,8100,12.25,Buy,0
2014-11-28,002001.SK,6800,14.99,CloseBuy,1632.8
2014-11-28,002440.SK,5800,17.07,CloseBuy,-1173.7
2014-12-01,600249.SK,14700,7.17,CloseBuy,4660.5
2014-12-01,002655.SK,9500,10.45,Buy,0
2014-12-01,002571.SK,8900,11.2,Buy,0
2014-12-01,600882.SK,11600,8.58,Buy,0
2014-12-01,600695.SK,15200,7.28,CloseBuy,9977
2014-12-01,600401.SK,12000,8.33,CloseBuy,-479
2014-12-01,300121.SK,9600,10.34,Buy,0
2014-12-01,002148.SK,4200,23.33,Buy,0
2014-12-02,002548.SK,10000,10.3,CloseBuy,2582.6
2014-12-02,600376.SK,14200,7,Buy,0
2014-12-02,002124.SK,7700,11.81,CloseBuy,-9400.2
2014-12-02,000695.SK,7000,13.94,CloseBuy,-1845.1
2014-12-02,000761.SK,19500,5.5,CloseBuy,6572.7
2014-12-02,600988.SK,9800,10.81,CloseBuy,5245
2014-12-02,000680.SK,21100,4.73,Buy,0
2014-12-02,600070.SK,9400,9.86,CloseBuy,-7699.5
2014-12-02,002455.SK,9800,10.54,CloseBuy,2712.8
2014-12-02,000528.SK,11700,8.51,Buy,0
2014-12-03,000768.SK,6700,14.9,Buy,0
2014-12-03,600720.SK,11200,8.86,Buy,0
2014-12-03,600208.SK,15800,6.31,Buy,0
2014-12-03,600639.SK,6100,16.3,Buy,0
2014-12-03,000799.SK,7500,15.33,CloseBuy,14910.6
2014-12-03,600171.SK,9000,11.16,CloseBuy,657.9
2014-12-03,000809.SK,6300,15.01,CloseBuy,-5481
2014-12-03,600658.SK,8100,13.65,CloseBuy,10758.1
2014-12-03,600886.SK,13500,7.38,Buy,0
2014-12-03,002501.SK,5100,19.5,Buy,0
2014-12-03,601800.SK,13600,7.31,Buy,0
2014-12-03,600169.SK,15600,6.39,Buy,0
2014-12-03,000972.SK,16600,6.14,CloseBuy,1381.5
2014-12-03,601618.SK,33600,2.97,Buy,0
2014-12-03,002564.SK,11400,9.39,CloseBuy,6654.4
2014-12-03,000425.SK,9400,10.59,Buy,0
2014-12-03,300302.SK,3900,30.38,CloseBuy,18828.3
2014-12-04,600895.SK,8400,11.88,Buy,0
2014-12-04,600819.SK,11900,10.35,CloseBuy,22704.7
2014-12-04,601222.SK,3900,24.99,CloseBuy,-1286.5
2014-12-04,601218.SK,12300,7.82,CloseBuy,-4389.4
2014-12-04,000603.SK,6600,16.05,CloseBuy,5964.8
2014-12-04,600860.SK,14100,7.18,CloseBuy,380.4
2014-12-04,000026.SK,10400,10.79,CloseBuy,11495.3
2014-12-04,002433.SK,8000,12.63,CloseBuy,1074.2
2014-12-04,600493.SK,11900,9.01,CloseBuy,7092.4
2014-12-04,601390.SK,20000,5,Buy,0
2014-12-04,002337.SK,5100,19.54,Buy,0
2014-12-04,600718.SK,6700,16.72,CloseBuy,11924.3
2014-12-04,600170.SK,15400,6.49,Buy,0
2014-12-04,601186.SK,11200,8.87,Buy,0
2014-12-04,002673.SK,4100,24.11,Buy,0
2014-12-04,000728.SK,4200,23.58,Buy,0
2014-12-04,600153.SK,12100,8.23,Buy,0
2014-12-04,600068.SK,16800,5.95,Buy,0
2014-12-04,601669.SK,23300,4.29,Buy,0
2014-12-04,600970.SK,9600,10.38,Buy,0
2014-12-04,600119.SK,5700,16.35,CloseBuy,-6885.8
2014-12-04,002094.SK,7300,12.75,CloseBuy,-6836
2014-12-05,002209.SK,9400,10.18,CloseBuy,-4709.6
2014-12-05,300162.SK,1700,55.6,Buy,0
